Post Code,"District/ตำบล,แขวง","City/อำเภอ,เขต",County/จังหวัด,Country/Region Code
10170,แขวงบางเชือกหนัง,เขตตลิ่งชัน,กรุงเทพมหานคร,TH
10170,แขวงบางพรม,เขตตลิ่งชัน,กรุงเทพมหานคร,TH
10170,แขวงบางระมาด,เขตตลิ่งชัน,กรุงเทพมหานคร,TH
10170,แขวงทวีวัฒนา,เขตทวีวัฒนา,กรุงเทพมหานคร,TH
10170,แขวงศาลาธรรมสพน์,เขตทวีวัฒนา,กรุงเทพมหานคร,TH
10200,แขวงชนะสงคราม,เขตพระนคร,กรุงเทพมหานคร,TH
10200,แขวงตลาดยอด,เขตพระนคร,กรุงเทพมหานคร,TH
10200,แขวงบวรนิเวศ,เขตพระนคร,กรุงเทพมหานคร,TH
10200,แขวงบางขุนพรหม,เขตพระนคร,กรุงเทพมหานคร,TH
10200,แขวงบ้านพานถม,เขตพระนคร,กรุงเทพมหานคร,TH
10200,แขวงพระบรมมหาราชวัง,เขตพระนคร,กรุงเทพมหานคร,TH
10200,แขวงวังบูรพาภิรมย์,เขตพระนคร,กรุงเทพมหานคร,TH
10200,แขวงวัดราชบพิธ,เขตพระนคร,กรุงเทพมหานคร,TH
10200,แขวงวัดสามพระยา,เขตพระนคร,กรุงเทพมหานคร,TH
10200,แขวงศาลเจ้าพ่อเสือ,เขตพระนคร,กรุงเทพมหานคร,TH
10200,แขวงสำราญราษฎร์,เขตพระนคร,กรุงเทพมหานคร,TH
10200,แขวงเสาชิงช้า,เขตพระนคร,กรุงเทพมหานคร,TH
10210,แขวงดอนเมือง,เขตดอนเมือง,กรุงเทพมหานคร,TH
10210,แขวงสนามบิน,เขตดอนเมือง,กรุงเทพมหานคร,TH
10210,แขวงสีกัน,เขตดอนเมือง,กรุงเทพมหานคร,TH
10210,แขวงดอนเมือง,เขตหลักสี่,กรุงเทพมหานคร,TH
10210,แขวงตลาดบางเขน,เขตหลักสี่,กรุงเทพมหานคร,TH
10210,แขวงทุ่งสองห้อง,เขตหลักสี่,กรุงเทพมหานคร,TH
10220,แขวงท่าแร้ง,เขตบางเขน,กรุงเทพมหานคร,TH
10220,แขวงอนุสาวรีย์,เขตบางเขน,กรุงเทพมหานคร,TH
10220,แขวงคลองถนน,เขตสายไหม,กรุงเทพมหานคร,TH
10220,แขวงสายไหม,เขตสายไหม,กรุงเทพมหานคร,TH
10220,แขวงออเงิน,เขตสายไหม,กรุงเทพมหานคร,TH
10230,แขวงคันนายาว,เขตคันนายาว,กรุงเทพมหานคร,TH
10230,แขวงท่าแร้ง,เขตคันนายาว,กรุงเทพมหานคร,TH
10230,แขวงรามอินทรา,เขตคันนายาว,กรุงเทพมหานคร,TH
10230,แขวงท่าแร้ง,เขตบางเขน,#N/A,TH
10230, แขวงนวมินทร์,เขตบึงกุ่ม,กรุงเทพมหานคร,TH
10230,แขวงคลองกุ่ม,เขตบึงกุ่ม,กรุงเทพมหานคร,TH
10230,แขวงนวลจันทร์,เขตบึงกุ่ม,กรุงเทพมหานคร,TH
10230,แขวงจรเข้บัว,เขตลาดพร้าว,กรุงเทพมหานคร,TH
10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,TH
10240,แขวงคลองจั่น,เขตบางกะปิ,กรุงเทพมหานคร,TH
10240,แขวงหัวหมาก,เขตบางกะปิ,กรุงเทพมหานคร,TH
10240,แขวงคลองกุ่ม,เขตบึงกุ่ม,กรุงเทพมหานคร,TH
10240,แขวงนวมินทร์,เขตบึงกุ่ม,กรุงเทพมหานคร,TH
10240,แขวงทับช้าง,เขตสะพานสูง,กรุงเทพมหานคร,TH
10240,แขวงราษฎร์พัฒนา,เขตสะพานสูง,กรุงเทพมหานคร,TH
10240,แขวงสะพานสูง,เขตสะพานสูง,กรุงเทพมหานคร,TH
10250,แขวงดอกไม้,เขตประเวศ,กรุงเทพมหานคร,TH
10250,แขวงประเวศ,เขตประเวศ,กรุงเทพมหานคร,TH
10250,แขวงหนองบอน,เขตประเวศ,กรุงเทพมหานคร,TH
10250,แขวงพัฒนาการ,เขตสวนหลวง,กรุงเทพมหานคร,TH
10250,แขวงสวนหลวง,เขตสวนหลวง,กรุงเทพมหานคร,TH
10250,แขวงอ่อนนุช,เขตสวนหลวง,กรุงเทพมหานคร,TH
10250,ทับช้าง,เขตสวนหลวง,กรุงเทพมหานคร,TH
10250,แขวงทับช้าง,เขตสะพานสูง,กรุงเทพมหานคร,TH
10260,แขวงบางนา,เขตบางนา,กรุงเทพมหานคร,TH
10260,แขวงบางนาใต้,เขตบางนา,กรุงเทพมหานคร,TH
10260,แขวงบางนาเหนือ,เขตบางนา,กรุงเทพมหานคร,TH
10260,แขวงบางจาก,เขตพระโขนง,กรุงเทพมหานคร,TH
10260,แขวงพระโขนง,เขตพระโขนง,กรุงเทพมหานคร,TH
10260,แขวงพระโขนงใต้,เขตพระโขนง,กรุงเทพมหานคร,TH
10260,แขวงพระโขนงเหนือ,เขตวัฒนา,#N/A,TH
10270,ตำบลเทพารักษ์,อำเภอเมืองสมุทรปราการ,จังหวัดสมุทรปราการ,TH
10270,ตำบลบางด้วน,อำเภอเมืองสมุทรปราการ,จังหวัดสมุทรปราการ,TH
10270,ตำบลบางโปรง,อำเภอเมืองสมุทรปราการ,จังหวัดสมุทรปราการ,TH
10270,ตำบลบางเมือง,อำเภอเมืองสมุทรปราการ,จังหวัดสมุทรปราการ,TH
10270,ตำบลบางเมืองใหม่,อำเภอเมืองสมุทรปราการ,จังหวัดสมุทรปราการ,TH
10270,ตำบลปากน้ำ,อำเภอเมืองสมุทรปราการ,จังหวัดสมุทรปราการ,TH
10270,ตำบลโรงเหนือ,อำเภอเมืองสมุทรปราการ,จังหวัดสมุทรปราการ,TH
10270,ตำบลสำโรงเหนือ,อำเภอเมืองสมุทรปราการ,จังหวัดสมุทรปราการ,TH
10280,ตำบลท้ายบ้าน,อำเภอเมืองสมุทรปราการ,จังหวัดสมุทรปราการ,TH
10280,ตำบลท้ายบ้านใหม่,อำเภอเมืองสมุทรปราการ,จังหวัดสมุทรปราการ,TH
10280,ตำบลบางปู,อำเภอเมืองสมุทรปราการ,จังหวัดสมุทรปราการ,TH
